[2016-12-06 12:09:39] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:09:41] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:09:42] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:09:43] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:09:44] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:09:45] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:09:55] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:09:56] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:09:56] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:10:03] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:10:04] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:10:23] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:10:24] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:10:57] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:10:58] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:10:58] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:10:59] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:11:47] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:11:48] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:11:49] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:11:50] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:11:51] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:11:51] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:11:52] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:11:52] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:11:52] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:11:54] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:11:55] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:11:56] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:13:42] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:13:43] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:13:44] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:14:01] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:14:03] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:15:15] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:16:30] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:16:32] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:17:47] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:17:49] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:17:56] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:17:57] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:18:04] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:18:05] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:18:06] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:18:26] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:18:39] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:18:57] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:19:32] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:20:23] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:20:25] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:20:26] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:20:27] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:20:28] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:20:29] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:20:30] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:20:30] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:20:30] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:20:31] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:21:58] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:22:00] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:22:35] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:22:36] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:22:37] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:22:38] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:22:39] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:22:39] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:22:39] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:23:18] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:23:20] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:23:26] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:23:27] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:23:28] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:23:28] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:23:29] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:23:29] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:23:30] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:23:32] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:23:33] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:23:35] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:23:36] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:24:57] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:24:58] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:24:58] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:24:58] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:24:59] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:28:19] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:28:20] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:28:21] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:28:22] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:28:23] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:28:24] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:28:24] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:28:43] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:28:46] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:28:49] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:28:52] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:28:54] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:28:57] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:29:00] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:29:02] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:29:04] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:29:07] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:29:09] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:29:50] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:30:05] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:30:10] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:30:11] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:30:20] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:31:45] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:33:29] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:35:29] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:35:33] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:37:18] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:37:19] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:37:35] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:38:56] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:41:07] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:41:09] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:41:10] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:41:11] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:41:12] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:41:13] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 12:41:34] my_logger.INFO: Lista de Conselho de Classe [] []
